YYYYDDD   IMG-GMT  SITE-GMT    TAU-ln     TAU-ln    TAU-lin    TAU-lin 
(julday)  (hhmmss)  (fra-dy)       ice        ice        ice        ice 
      -         -         -      mean       mean      sigma      sigma 
      -         -         -      20km       10km       20km       10km 
      -         -         -      (--)       (--)       (--)       (--) 
--------  --------  --------  --------   --------   --------   -------- 
2012280     43000  280.1904   -99.0000   -99.0000   -99.0000   -99.0000 
2012280     50000  280.2112   -99.0000   -99.0000   -99.0000   -99.0000 
2012280     53000  280.2321   -99.0000   -99.0000   -99.0000   -99.0000 
2012280     60000  280.2536   -99.0000   -99.0000   -99.0000   -99.0000 
2012280     63000  280.2737   -99.0000   -99.0000   -99.0000   -99.0000 
2012280     70000  280.2946   -99.0000   -99.0000   -99.0000   -99.0000 
2012280     73000  280.3154   -99.0000   -99.0000   -99.0000   -99.0000 
2012280     80000  280.3362   -99.0000   -99.0000   -99.0000   -99.0000 
2012280     83000  280.3571     0.5400     0.5100     0.1000     0.0900 
2012280     90000  280.3786   -99.0000   -99.0000   -99.0000   -99.0000 
2012280     93000  280.3987   -99.0000   -99.0000   -99.0000   -99.0000 
2012280    100000  280.4196   -99.0000   -99.0000   -99.0000   -99.0000 
2012280    103000  280.4404   -99.0000   -99.0000   -99.0000   -99.0000 
2012280    110000  280.4612   -99.0000   -99.0000   -99.0000   -99.0000 
2012280    113000  280.4821   -99.0000   -99.0000   -99.0000   -99.0000 
2012280    120000  280.5036     0.6700     0.6900     0.1400     0.1500 
2012280    123000  280.5237     0.6600   -99.0000     0.0800   -99.0000 
2012280    130000  280.5446   -99.0000   -99.0000   -99.0000   -99.0000 
2012280    133000  280.5654   -99.0000   -99.0000   -99.0000   -99.0000 
2012280    140000  280.5863     0.9200   -99.0000     0.2600   -99.0000 
2012280    143000  280.6071     0.7400     0.9700     0.5600     0.7600 
2012280    150000  280.6287     1.4100     1.4900     0.3400     0.3700 
2012280    153000  280.6488     1.6300     1.4600     0.8800     0.3600 
2012280    160000  280.6696     1.1300     1.0000     0.3400     0.3100 
2012280    163000  280.6905     1.3200     1.3000     0.3500     0.0400 
2012280    170000  280.7113     0.9700     1.1800     0.3600     0.3400 
